id;Name;SMILE;Taste;Reference;Note
24;Kutkin;OC[C@H]1O[C@@H](OC(=O)c2ccc(c(c2)OC)OC(=O)/C=C/c2ccccc2)[C@@H]([C@H]([C@@H]1O)O)O.O.O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
25;linoleic acid;CCCCC/C=C\C/C=C\CCCCCCCC(=O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
26;MD bacitracin;O=C(c1ccccc1O)OCOC(=O)c1ccccc1O.NCCCC[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O)CC(=O)N)CC(=O)O)Cc1[nH]cnc1)Cc1ccccc1)[C@H](CC)C)CCCN)NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)C1CSC(=N1)C(C(CC)C)N)CC(C)C)CCC(=O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
27;OLEANOLIC ACID;O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C(=O)O)C)C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
28;Parillin;OC[C@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@]4([C@@H](C3)CC[C@@H]3[C@@H]4CC[C@]4([C@H]3C[C@H]3[C@@H]4[C@H](C)[C@]4(O3)CC[C@@H](CO4)C)C)C)O[C@@H]([C@H]([C@@H]2O)O[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)CO[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
29;Phytol;OC/C=C(/CCCC(CCCC(CCCC(C)C)C)C)\C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
30;Premarrubiin;O=C1O[C@H]2[C@H]3[C@]1(C)CCC[C@]3(C)[C@]1([C@@H](C2)C)CC[C@]2(O1)COC=C2;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
31;Ranunculin;OC[C@H]1O[C@@H](OC[C@@H]2C=CC(=O)O2)[C@@H]([C@H]([C@@H]1O)O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
32;Stevisalioside A;OCC1OC(OC(=O)C2(C)CCCC3(C2CCC24C3C(O)C(C(=C)C2)C(=O)C4)C)C(C(C1OC1OCC(C(C1O)O)O)OC(=O)C)OC(=O)C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
33;Tauremisin;CC1C(=O)OC2C1CCC1(C2C(C)(O)C=CC1=O)C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
34;Tenulin;C[C@@H]1C[C@@H]2OC(=O)[C@@]3([C@H]2[C@H]([C@]2([C@H]1C=CC2=O)C)OC3(C)O)C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
35;Tomatine;OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2)CC[C@@H]2[C@@H]3CC[C@]3([C@H]2C[C@H]2[C@@H]3[C@H](C)[C@@]3(O2)CC[C@@H](CN3)C)C)C)[C@@H]([C@H]([C@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O)O)O)O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
36;VERNODALIN;OCC(=C)C(=O)O[C@H]1C[C@]2(C=C)COC(=O)C(=C)[C@@H]2[C@@H]2[C@@H]1C(=C)C(=O)O2;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
37;Vernodalol;COC(=O)C(=C)[C@@H]1[C@@H](OC(=O)C(=C)CO)C[C@]2([C@@H]([C@H]1O)C(=C)C(=O)OC2)C=C;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
38;VERNOLIDE;CC(=C)C(=O)O[C@H]1C[C@]23O[C@@H]3CC/C(=C/[C@@H]3[C@@H]1C(=C)C(=O)O3)/CO[C@H]2O;Bitter;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
39;30950-27-7;O/N=C/C1=CCC(CC1)C(=C)C;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
40;Abrusoside A;OC[C@H]1O[C@@H](O[C@H]2CC[C@]34[C@H]([C@]2(C)C(=O)O)CC[C@@H]2[C@@]4(C3)CC[C@]3([C@@]2(C)CC[C@@H]3[C@@H]([C@@H]2CC=C(C(=O)O2)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
41;ABRUSOSIDE D;OC[C@H]1O[C@@H](O[C@H]2CC[C@]34[C@H]([C@]2(C)C(=O)O)CC[C@@H]2[C@@]4(C3)CC[C@]3([C@@]2(C)CC[C@@H]3[C@@H]([C@@H]2CC=C(C(=O)O2)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
42;Abrusoside E;OC[C@H]1O[C@@H](O[C@H]2[C@@H](O[C@@H]([C@H]([C@@H]2O)O)C(=O)O)O[C@H]2CC[C@]34[C@H]([C@@]2(C)C(=O)O)CC[C@@H]2[C@@]4(C3)CC[C@]3([C@@]2(C)CC[C@@H]3[C@@H]([C@@H]2CC=C(C(=O)O2)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
43;Apioglycyrrhizin;OC[C@@]1(O)CO[C@H]([C@@H]1O)O[C@H]1[C@H](O[C@@H]([C@H]([C@@H]1O)O)C(=O)O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)O)C)C)C;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
44;Araboglycyrrhizin;O=C1C=C2C3CC(C)(CCC3(C)CCC2(C2(C1C1(C)CCC(C(C1CC2)(C)C)OC1OC(C(=O)O)C(C(C1OC1OCC(C(C1O)O)O)O)O)C)C)C(=O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
45;Baiyunoside;OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2(C)C)CCC(=C3CCc2cocc2)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
46;Carnosifloside VI;OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC/C(=C/CC[C@H]([C@H]3CC[C@@]4([C@]3(C)C[C@@H](O)[C@@]3([C@H]4CC=C4[C@H]3CC[C@@H](C4(C)C)O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)C)C)C)/C)[C@@H]([C@H]([C@@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
47;Cyclocarioside A;CC(=O)OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)OC1CC[C@]2(C(C1(C)C)CC(C1C2C[C@H](O[C@@H]2O[C@@H](C)[C@@H]([C@@H]([C@H]2O)O)O)C2[C@]1(C)CCC2[C@]1(C)CCC(O1)C(O)(C)C)C)C;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
48;Ethyl tiglate;CCOC(=O)/C(=C/C)/C;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
49;Fucoidan;C[C@@H]1O[C@H](C)[C@H]([C@@H]([C@@H]1OS(=O)(=O)O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
50;Gamma-undecalactone;CCCCCCCC1CCC(=O)O1;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
51;Mogroside V;OC[C@H]1O[C@@H](O[C@H]2[C@@H](O[C@@H]([C@H]([C@@H]2O)O)CO[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)O[C@@H](C(O)(C)C)CC[C@H]([C@H]2CC[C@@]3([C@]2(C)C[C@@H](O)[C@@]2([C@H]3CC=C3[C@H]2CC[C@@H](C3(C)C)O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)[C@H]([C@@H]([C@H]2O)O)O)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
52;nan;CCNC(=O)c1c(C[N+](=O)[O-])sc(c1C(=O)Nc1ccc(cc1)Cl)c1ccnc(c1)N;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
53;neohesperidin dihydrochalcone;OC[C@H]1O[C@@H](Oc2cc(O)c(c(c2)O)C(=O)CCc2ccc(c(c2)O)OC)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
54;Osladin;OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2)C(=O)C[C@@H]2[C@@H]3CC[C@]3([C@H]2CCC3[C@@H](C2CC[C@H]([C@H](O2)O[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)C)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
55;Paradol;CCCCCCCC(=O)CCc1ccc(c(c1)OC)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
56;Periandrin I;O=CC12CCC(C(C1CCC1(C2CCC2C1(C)CCC1(C2=CC(C)(CC1)C(=O)O)C)C)(C)C)OC1OC(C(=O)O)C(C(C1OC1OC(C(=O)O)C(C(C1O)O)O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
57;Periandrin III;OCC12CCC(C(C1CCC1(C2CCC2C1(C)CCC1(C2=CC(C)(CC1)C(=O)O)C)C)(C)C)OC1OC(C(=O)O)C(C(C1OC1OC(C(=O)O)C(C(C1O)O)O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
58;Periandrin V;O=CC12CCC(C(C2CCC2(C1CCC1C2(C)CCC2(C1=CC(C)(CC2)C(=O)O)C)C)(C)C)OC1OC(C(=O)O)C(C(C1OC1OCC(C(C1O)O)O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
59;Polypodoside A;OC[C@H]1O[C@@H](O[C@@H]2CC[C@]3([C@@H](C2)C(=O)C=C2[C@H]3CC[C@]3([C@@H]2CC[C@@H]3[C@@H]([C@H]2CC[C@@H]([C@H](O2)O[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)C)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
60;Polypodoside B;OCC1OC(OC2CCC3(C(C2)C(=O)C=C2C3CCC3(C2CCC3C(C2CCC(C(O2)OC2OC(C)C(C(C2O)O)O)C)C)C)C)C(C(C1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
61;Polypodoside C;OCC1OC(OC2CCC3(C(C2)C(=O)C=C2C3CCC3(C2CCC3C(C2CCC(C(O2)OC2OC(C)C(C(C2O)OC)O)C)C)C)C)C(C(C1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
62;Pterocaryoside A;OC(=O)CC[C@@]1(C)[C@@H](CC[C@@]2([C@@H]1C[C@@H](O[C@@H]1O[C@H](C)[C@H]([C@@H]([C@H]1O)O)O)[C@H]1[C@@]2(C)CC[C@@H]1[C@](C/C=C/C(O)(C)C)(O)C)C)C(=C)C;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
63;Pterocaryoside B;OC(=O)CC[C@@]1(C)[C@@H](CC[C@@]2([C@@H]1C[C@@H](O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O)O)[C@H]1[C@@]2(C)CC[C@@H]1[C@](C/C=C/C(O)(C)C)(O)C)C)C(=C)C;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
64;rebaudioside;OC[C@H]1O[C@@H](O[C@@]23CCC4[C@@](C2)(CC3=C)CCC2C4(C)CCC[C@@]2(C)C(=O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
65;Rubusoside;OC[C@H]1O[C@@H](OC(=O)[C@]2(C)CCC[C@@]3([C@@H]2CC[C@@]24[C@H]3CC[C@](C4)(C(=C)C2)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)C)[C@@H]([C@H]([C@@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
66;Scandenoside R6;OC[C@H]1O[C@@H](OC/C(=C\CC[C@H]([C@H]2CC[C@@]3([C@]2(C)C[C@@H](O)[C@@]2([C@H]3CC=C3[C@H]2CC[C@@H](C3(C)C)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)C)C)C)/C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
67;Selligueain A;Oc1ccc(cc1)[C@H]1Oc2c([C@@H]([C@H]1O)c1c(O)cc(c3c1O[C@@H]([C@H](C3)O)c1ccc(cc1)O)O)c(O)cc1c2[C@@H]2c3c(O)cc(cc3O[C@](O1)(C2O)c1ccc(cc1)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
68;Stevioside;OC[C@H]1O[C@@H](O[C@@]23CC[C@@H]4[C@@](C2)(CC3=C)CC[C@H]2[C@@]4(C)CCC[C@@]2(C)C(=O)O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
69;Volemitol;OC[C@H]([C@H](C([C@@H]([C@@H](CO)O)O)O)O)O;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
70;Ziziphin;CC(=C[C@@H]1O[C@@]23OC[C@@]4(C2)[C@@H]([C@H]3[C@@](C1)(C)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1OC(=O)C)OC(=O)C)O)CC[C@H]1[C@@]4(C)CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)C;Sweet;Biochemical Targets of Plant Bioactive Compounds by Gideon Polya;none
71;240;C1=CC=C(C=C1)C=O;Bitter;BitterDB;none
72;289;C1=CC=C(C(=C1)O)O;Bitter;BitterDB;none
73;323;C1=CC=C2C(=C1)C=CC(=O)O2;Bitter;BitterDB;none
74;338;C1=CC=C(C(=C1)C(=O)O)O;Bitter;BitterDB;none
75;370;C1=C(C=C(C(=C1O)O)O)C(=O)O;Bitter;BitterDB;none
76;586;CN(CC(=O)O)C(=N)N;Bitter;BitterDB;none
77;588;CN1CC(=O)N=C1N;Bitter;BitterDB;none
78;679;CS(=O)C;Bitter;BitterDB;none
79;768;C#N;Bitter;BitterDB;none
80;784;OO;Bitter;BitterDB;none
81;790;C1=NC2=C(N1)C(=O)N=CN2;Bitter;BitterDB;none
82;795;C1=CN=CN1;Bitter;BitterDB;none
83;932;C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O;Bitter;BitterDB;none
84;998;C1=CC=C(C=C1)CC=O;Bitter;BitterDB;none
85;1048;C1=CNN=C1;Bitter;BitterDB;none
86;1119;O=S=O;Bitter;BitterDB;none
87;1123;C(CS(=O)(=O)O)N;Bitter;BitterDB;none
88;1130;CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO;Bitter;BitterDB;none
89;1176;C(=O)(N)N;Bitter;BitterDB;none
90;1188;C1=NC2=C(N1)C(=O)NC(=O)N2;Bitter;BitterDB;none
91;1889;C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O;Bitter;BitterDB;none
92;1983;CC(=O)NC1=CC=C(C=C1)O;Bitter;BitterDB;none
93;2153;CN1C2=C(C(=O)N(C1=O)C)NC=N2;Bitter;BitterDB;none
94;2164;CCC1(C(=O)NC(=O)NC1=O)CCC(C)C;Bitter;BitterDB;none
95;2180;C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O;Bitter;BitterDB;none
96;2194;COC1=CC=C(C=C1)C2=CC(=S)SS2;Bitter;BitterDB;none
97;2206;CC1=CC(=O)N(N1C)C2=CC=CC=C2;Bitter;BitterDB;none
98;2236;COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O;Bitter;BitterDB;none
99;2244;CC(=O)OC1=CC=CC=C1C(=O)O;Bitter;BitterDB;none
100;2265;CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-];Bitter;BitterDB;none
101;2294;CCC1(C(=O)NC(=O)NC1=O)CC;Bitter;BitterDB;none
102;2331;C1=CC=C(C=C1)C(=O)N;Bitter;BitterDB;none
103;2353;COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC;Bitter;BitterDB;none
104;2355;COC1=C2C=CC(=O)OC2=CC3=C1C=CO3;Bitter;BitterDB;none
105;2481;CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C;Bitter;BitterDB;none
106;2483;C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O;Bitter;BitterDB;none
107;2519;CN1C=NC2=C1C(=O)N(C(=O)N2C)C;Bitter;BitterDB;none
108;2576;CCCC(C)(COC(=O)N)COC(=O)NC(C)C;Bitter;BitterDB;none
109;2707;C(C(Cl)(Cl)Cl)(O)O;Bitter;BitterDB;none
110;2719;CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl;Bitter;BitterDB;none
111;2725;CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2;Bitter;BitterDB;none
112;2764;C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O;Bitter;BitterDB;none
113;2955;C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N;Bitter;BitterDB;none
114;2972;CC1=C(C(=O)C=CN1C)O;Bitter;BitterDB;none
115;3016;CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3;Bitter;BitterDB;none
116;3033;C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl;Bitter;BitterDB;none
117;3055;C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O;Bitter;BitterDB;none
118;3100;CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2;Bitter;BitterDB;none
119;3108;C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO;Bitter;BitterDB;none
120;3182;CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O;Bitter;BitterDB;none
121;3229;CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O;Bitter;BitterDB;none
122;3242;CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC;Bitter;BitterDB;none
